cds	gene
cds168	gene86
cds168	gene86
cds168	gene86
cds168	gene86
cds168	gene86
cds168	gene86
cds168	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds169	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds170	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds171	gene86
cds172	gene87
cds172	gene87
cds172	gene87
cds172	gene87
cds172	gene87
cds172	gene87
cds172	gene87
cds172	gene87
cds172	gene87
cds173	gene89
cds174	gene90
cds175	gene91
cds176	gene92
cds177	gene93
cds178	gene94
cds179	gene95
cds180	gene96
cds180	gene96
cds180	gene96
cds180	gene96
cds181	gene97
cds181	gene97
cds181	gene97
cds181	gene97
cds181	gene97
cds181	gene97
cds182	gene97
cds182	gene97
cds182	gene97
cds182	gene97
cds182	gene97
cds182	gene97
cds183	gene98
cds183	gene98
cds184	gene98
cds185	gene98
cds186	gene99
cds186	gene99
cds186	gene99
cds187	gene100
cds187	gene100
cds187	gene100
cds187	gene100
cds187	gene100
cds187	gene100
cds187	gene100
cds187	gene100
cds188	gene100
cds188	gene100
cds188	gene100
cds188	gene100
cds188	gene100
cds188	gene100
cds188	gene100
cds188	gene100
cds189	gene100
cds189	gene100
cds189	gene100
cds189	gene100
cds189	gene100
cds189	gene100
cds189	gene100
cds189	gene100
cds190	gene100
cds190	gene100
cds190	gene100
cds190	gene100
cds190	gene100
cds190	gene100
cds190	gene100
cds190	gene100
cds191	gene100
cds191	gene100
cds191	gene100
cds191	gene100
cds191	gene100
cds191	gene100
cds191	gene100
cds191	gene100
cds192	gene101
cds192	gene101
cds192	gene101
cds192	gene101
cds192	gene101
cds193	gene102
cds193	gene102
cds193	gene102
cds193	gene102
cds193	gene102
cds194	gene102
cds194	gene102
cds194	gene102
cds194	gene102
cds194	gene102
cds195	gene102
cds195	gene102
cds195	gene102
cds195	gene102
cds195	gene102
cds196	gene103
cds196	gene103
cds196	gene103
cds196	gene103
cds196	gene103
cds196	gene103
cds196	gene103
cds197	gene104
cds197	gene104
cds197	gene104
cds197	gene104
cds197	gene104
cds197	gene104
cds198	gene105
cds198	gene105
cds198	gene105
cds198	gene105
cds198	gene105
cds198	gene105
cds199	gene106
cds199	gene106
cds199	gene106
cds199	gene106
cds199	gene106
cds199	gene106
