cds	gene
cds103	gene96
cds103	gene96
cds104	gene96
cds104	gene96
cds104	gene96
cds104	gene96
cds104	gene96
cds104	gene96
cds105	gene96
cds105	gene96
cds105	gene96
cds105	gene96
cds105	gene96
cds105	gene96
cds106	gene96
cds106	gene96
cds106	gene96
cds106	gene96
cds106	gene96
cds107	gene97
cds108	gene98
cds108	gene98
cds108	gene98
cds108	gene98
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds109	gene99
cds110	gene100
cds110	gene100
cds111	gene101
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds112	gene102
cds113	gene103
cds113	gene103
cds113	gene103
cds113	gene103
cds113	gene103
cds113	gene103
cds114	gene104
cds114	gene104
cds114	gene104
cds114	gene104
cds115	gene105
cds115	gene105
cds116	gene106
cds116	gene106
cds117	gene107
cds117	gene107
cds117	gene107
cds117	gene107
cds117	gene107
cds117	gene107
cds117	gene107
cds117	gene107
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds118	gene108
cds119	gene109
cds119	gene109
cds119	gene109
cds120	gene110
cds120	gene110
cds120	gene110
cds120	gene110
cds120	gene110
cds120	gene110
cds120	gene110
cds120	gene110
cds120	gene110
cds121	gene115
cds121	gene115
cds121	gene115
cds121	gene115
cds122	gene115
cds122	gene115
cds122	gene115
cds122	gene115
cds122	gene115
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds123	gene116
cds124	gene117
cds124	gene117
cds124	gene117
cds124	gene117
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds125	gene118
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds126	gene119
cds127	gene120
cds127	gene120
cds128	gene120
cds128	gene120
cds129	gene121
