cds	gene
cds160	gene176
cds160	gene176
cds160	gene176
cds160	gene176
cds161	gene177
cds162	gene178
cds162	gene178
cds162	gene178
cds162	gene178
cds162	gene178
cds162	gene178
cds162	gene178
cds162	gene178
cds162	gene178
cds163	gene179
cds163	gene179
cds163	gene179
cds164	gene180
cds164	gene180
cds164	gene180
cds164	gene180
cds164	gene180
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds165	gene181
cds166	gene182
cds166	gene182
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds167	gene183
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds168	gene184
cds169	gene185
cds169	gene185
cds170	gene186
cds170	gene186
cds171	gene187
cds171	gene187
cds171	gene187
cds171	gene187
